class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,36.16,36.11,219.90,474.70,485.81,3052.49,236.99,275.89,2050.68
berserk,axe,melee,27.57,105.35,514.95,603.28,2461.63,11942.36,173.89,622.05,3026.00
berserk,hammer,melee,40.72,208.59,320.73,1187.18,6280.49,10137.19,103.24,384.66,762.78
soldier,soldier_rifle,projectile,25.44,69.27,155.68,654.40,2110.98,6297.64,61.84,184.05,365.77
soldier,soldier_grenade,projectile,27.79,162.05,629.63,723.78,3503.33,12784.29,52.40,173.61,781.07
soldier,soldier_bayonet,melee,38.33,38.57,271.51,1686.85,1450.63,8980.04,105.01,116.38,597.06
thief,thief_coin_pouch,projectile,56.40,224.34,291.00,824.48,3324.16,5884.22,154.38,661.59,831.47
thief,thief_shadow_cloak,projectile,76.59,97.50,186.76,1927.35,2484.98,4526.56,302.07,297.43,731.29
thief,thief_smoke_bomb,aoe,53.85,252.22,1115.12,816.44,3805.42,17786.69,104.79,619.90,3839.43
elementalist,elementalist_orb_ring,aoe,38.41,173.20,264.45,566.27,2675.70,3869.35,62.74,370.35,657.87
elementalist,elementalist_prism_focus,beam,57.35,195.85,997.29,988.03,4093.44,23734.29,116.10,677.79,3925.24
elementalist,elementalist_meteor_core,projectile,29.33,164.91,663.63,361.53,2058.96,9103.97,95.32,407.58,2522.56
sniper,sniper_deadeye_rifle,projectile,69.34,212.53,450.71,1315.24,2619.81,5716.75,107.80,307.58,773.23
sniper,sniper_spotter_scope,projectile,23.04,104.38,575.17,507.26,1337.59,9107.37,40.75,191.05,805.03
sniper,sniper_shatter_rounds,projectile,66.62,199.98,215.08,784.55,2206.29,2546.11,82.97,303.09,233.13
priest,priest_reliquary,aoe,64.25,246.80,968.07,746.75,3603.02,17449.04,79.73,441.60,2414.81
priest,priest_censer,aoe,34.71,189.44,692.59,316.32,1763.56,6848.89,36.97,269.78,1081.41
priest,priest_chime,aoe,33.83,189.76,893.53,618.33,3499.63,17233.65,69.56,406.42,1817.70
biologist,biologist_spore_lens,aoe,78.44,340.07,1071.25,730.28,3472.40,10124.44,381.22,1708.66,4370.18
