class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,39.68,36.10,217.84,373.74,404.13,2344.14,205.79,267.04,2079.80
berserk,axe,melee,27.51,108.37,524.83,674.46,2296.16,11589.67,158.97,578.75,2884.43
berserk,hammer,melee,40.71,211.32,313.07,944.42,3943.30,7209.39,77.88,394.40,803.07
soldier,soldier_rifle,projectile,35.35,85.20,162.06,760.23,1997.79,6865.04,62.30,178.53,460.77
soldier,soldier_grenade,projectile,49.16,191.98,1138.98,812.45,3404.58,13354.57,64.68,317.81,691.00
soldier,soldier_bayonet,melee,57.45,50.78,244.50,2026.78,1885.86,9115.54,94.63,102.32,627.51
thief,thief_coin_pouch,projectile,53.30,199.52,263.57,938.79,3922.87,4229.23,163.42,689.46,909.22
thief,thief_shadow_cloak,projectile,88.81,91.56,198.08,1755.37,2082.35,4772.06,298.45,277.14,648.59
thief,thief_smoke_bomb,aoe,53.99,251.14,1019.22,511.44,2186.00,9512.12,104.88,698.66,3834.95
elementalist,elementalist_orb_ring,aoe,36.88,174.80,261.92,559.84,2613.31,3949.65,66.39,395.45,680.36
elementalist,elementalist_prism_focus,beam,50.92,174.19,990.66,1026.24,3755.88,19175.94,92.88,563.46,3630.56
elementalist,elementalist_meteor_core,projectile,29.33,140.61,665.07,452.40,2415.56,12098.30,91.16,405.73,2831.98
sniper,sniper_deadeye_rifle,projectile,77.33,193.07,517.31,1080.63,2629.77,4999.66,93.65,265.19,770.17
sniper,sniper_spotter_scope,projectile,31.29,104.22,441.09,508.38,2226.56,7464.87,62.51,286.43,1182.43
sniper,sniper_shatter_rounds,projectile,71.51,192.47,192.25,690.53,2497.04,2476.39,87.22,235.66,237.03
priest,priest_reliquary,aoe,55.79,217.13,878.71,666.09,3832.39,15676.13,69.41,423.24,2115.55
priest,priest_censer,aoe,34.67,230.97,1161.96,371.52,2412.35,11970.07,49.22,340.72,1888.62
priest,priest_chime,aoe,37.57,188.35,970.33,617.04,3249.03,17466.46,59.53,298.21,1424.65
biologist,biologist_spore_lens,aoe,78.47,347.80,1081.09,706.65,3672.34,10201.76,311.97,1444.40,3730.85
biologist,biologist_sample_injector,projectile,80.87,127.78,262.59,1053.19,2162.09,5750.04,209.98,414.93,1302.77
biologist,biologist_symbiote_seed,aoe,32.72,145.94,475.70,391.46,1989.86,6396.31,60.97,227.15,653.82
robot,robot_magnetic_anchor,aoe,30.36,152.16,777.84,460.84,2233.63,10770.14,83.84,319.52,2036.08
robot,robot_hydraulic_press,beam,41.47,131.42,495.50,517.72,1746.78,8450.64,78.81,303.39,1109.38
robot,robot_reactor_core,projectile,19.80,99.18,279.50,819.24,3134.65,8992.47,74.95,285.63,841.38
engineer,engineer_sentry_wrench,summon,57.07,83.54,101.68,2587.65,3245.19,3473.38,251.35,414.08,564.07
engineer,engineer_repair_drone,summon,41.44,250.33,392.09,551.98,2978.96,4416.14,82.91,537.17,727.69
engineer,engineer_pressure_mines,aoe,11.46,80.36,434.01,0.00,2193.12,18308.85,0.00,173.64,3614.12
dark_mage,dark_book,projectile,87.79,461.02,1246.99,1103.38,6515.30,19376.91,264.15,1738.03,6045.62
dark_mage,cursed_skull,aoe,41.74,187.96,313.18,513.54,2312.22,3520.48,59.83,268.65,448.47
dark_mage,dark_wand,projectile,35.23,127.43,261.00,812.43,4550.37,8780.10,98.13,506.68,972.34
guitarist,electric_guitar,aura,116.78,116.62,535.00,573.63,1975.49,6056.21,220.12,425.08,1300.46
guitarist,bass_guitar,aura,30.31,186.19,1015.97,368.69,2336.53,11710.38,44.87,286.44,1395.91
guitarist,sound_amp,summon,68.62,348.47,1654.56,386.93,2321.86,12653.15,129.45,730.02,3535.96
assassin,chakrams,beam,53.73,98.12,197.40,1474.87,1597.79,3824.31,158.73,149.30,481.49
assassin,shadow_daggers,melee,62.00,197.68,185.19,565.69,2059.75,2301.64,94.20,280.77,308.90
assassin,venom_wire,beam,53.78,67.45,100.04,1098.28,1467.56,1980.97,208.20,229.10,354.41
ranger,moon_crossbow,projectile,58.01,320.72,346.43,959.74,4884.49,4902.27,169.17,724.34,895.66
ranger,storm_longbow,projectile,62.29,62.22,218.57,1052.82,1357.35,4421.65,125.70,134.73,361.26
ranger,hunter_trap,aoe,29.57,60.10,239.28,425.90,1930.28,6035.07,55.48,125.91,471.59
doctor,restore_potion,projectile,64.95,137.06,518.41,720.51,2097.76,7756.41,143.08,429.65,1671.31
doctor,plague_syringe,projectile,44.61,51.01,44.73,759.89,889.50,695.04,85.40,93.94,85.46
doctor,bone_saw,melee,68.04,176.18,892.69,1368.35,3080.82,12547.20,111.62,317.20,1584.34
chemist,blast_powder,projectile,64.66,368.60,630.05,1379.34,9519.56,13661.98,142.54,877.91,1519.29
