class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,36.11,36.11,244.81,390.87,325.12,2001.41,257.59,349.78,2448.62
berserk,axe,melee,27.55,108.97,642.54,956.04,2656.04,14881.81,175.73,602.48,3346.13
berserk,hammer,melee,45.19,199.31,322.85,1043.54,4692.18,8629.83,88.43,382.28,707.35
soldier,soldier_rifle,projectile,31.55,76.52,213.50,662.39,1991.53,5433.93,57.27,112.77,461.39
soldier,soldier_grenade,projectile,39.69,170.87,746.43,499.25,2870.02,10856.81,42.64,239.96,1181.55
soldier,soldier_bayonet,melee,46.69,41.23,158.98,2009.20,1847.79,10656.60,180.98,125.19,1017.75
thief,thief_coin_pouch,projectile,53.19,212.50,275.92,825.28,4408.11,4236.38,172.26,699.39,871.39
thief,thief_shadow_cloak,projectile,76.45,82.06,198.98,1753.72,1873.20,5135.35,350.60,394.90,768.22
thief,thief_smoke_bomb,aoe,59.17,251.64,1024.76,616.31,3308.78,17890.62,116.35,618.85,3725.20
elementalist,elementalist_orb_ring,aoe,38.57,165.73,263.03,555.98,2586.34,4050.02,68.56,387.09,668.40
elementalist,elementalist_prism_focus,beam,50.93,174.34,984.61,987.93,3769.35,23882.32,91.64,668.90,3650.38
elementalist,elementalist_meteor_core,projectile,29.33,140.20,664.75,456.26,2417.13,10880.74,91.08,506.82,2450.23
sniper,sniper_deadeye_rifle,projectile,81.29,212.25,453.42,954.24,2665.51,6558.30,98.83,263.17,694.25
sniper,sniper_spotter_scope,projectile,31.35,104.43,441.62,304.87,1341.42,7492.04,40.25,288.00,805.52
sniper,sniper_shatter_rounds,projectile,69.07,192.77,214.64,738.00,2224.69,3106.15,91.88,261.98,237.10
priest,priest_reliquary,aoe,55.61,218.76,889.52,702.24,3437.57,16240.01,69.50,423.07,2114.52
priest,priest_censer,aoe,34.62,204.15,1054.08,316.99,1879.04,10489.66,56.76,372.26,2498.57
priest,priest_chime,aoe,33.81,187.96,895.74,651.37,3694.94,15622.48,55.00,298.38,1543.45
biologist,biologist_spore_lens,aoe,78.27,335.07,1069.14,691.23,3636.39,10096.83,311.68,1454.95,3800.71
biologist,biologist_sample_injector,projectile,85.17,121.76,262.53,982.87,2209.86,6847.93,210.56,398.67,1285.24
biologist,biologist_symbiote_seed,aoe,34.59,145.97,480.44,375.55,1846.23,6294.11,53.56,201.72,606.51
robot,robot_magnetic_anchor,aoe,30.37,152.26,769.42,460.89,2238.96,12159.55,45.14,267.48,1344.86
robot,robot_hydraulic_press,beam,50.20,131.49,495.77,518.38,1594.57,6397.74,96.94,250.09,1117.04
robot,robot_reactor_core,projectile,18.42,89.40,280.74,765.81,3074.72,9078.35,75.05,286.59,843.77
engineer,engineer_sentry_wrench,summon,56.07,85.27,103.74,2533.26,2820.63,3513.95,260.73,422.62,582.15
engineer,engineer_repair_drone,summon,48.45,257.49,398.77,551.78,2881.64,4422.18,82.66,577.10,728.71
engineer,engineer_pressure_mines,aoe,0.00,27.23,542.05,0.00,296.82,20160.82,36.47,594.98,4050.49
dark_mage,dark_book,projectile,87.67,461.02,1253.81,1362.28,6072.17,19719.78,260.09,1570.43,5641.92
dark_mage,cursed_skull,aoe,41.90,187.48,312.99,393.39,1782.12,2686.16,59.96,268.57,448.30
dark_mage,dark_wand,projectile,32.00,127.70,236.82,857.49,4804.09,9473.64,108.64,569.66,964.75
guitarist,electric_guitar,aura,109.92,112.74,523.67,542.48,1889.84,5829.57,228.45,441.78,1274.08
guitarist,bass_guitar,aura,33.26,178.82,990.12,374.86,2296.94,11411.41,61.41,337.81,1558.66
guitarist,sound_amp,summon,63.93,347.40,1656.49,363.65,2331.41,12275.29,121.71,767.46,3389.14
assassin,chakrams,beam,49.89,102.22,197.23,2120.18,2578.45,6377.63,141.43,143.82,508.46
assassin,shadow_daggers,melee,64.41,179.23,205.19,786.23,2233.67,2497.45,99.40,266.17,265.85
assassin,venom_wire,beam,59.91,63.56,105.73,1267.10,2034.55,2291.46,210.00,258.45,338.94
ranger,moon_crossbow,projectile,57.94,320.88,344.15,902.44,4866.04,4892.76,146.45,778.12,723.04
ranger,storm_longbow,projectile,68.77,62.23,197.90,1026.20,977.08,4230.80,118.16,127.35,419.33
ranger,hunter_trap,aoe,33.97,59.56,239.16,478.93,1925.60,5833.59,68.51,124.21,520.52
doctor,restore_potion,projectile,72.40,138.53,471.53,844.23,2031.89,8184.33,146.60,407.53,1744.84
doctor,plague_syringe,projectile,44.54,44.54,44.54,891.53,824.28,759.54,93.79,85.42,85.61
doctor,bone_saw,melee,73.52,180.94,856.65,1206.87,2850.16,11795.00,115.75,299.80,1607.52
chemist,blast_powder,projectile,64.62,362.69,630.14,1326.62,9272.00,13664.63,147.45,982.27,1643.07
