class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,36.11,37.89,244.14,366.03,364.83,2367.05,219.57,275.35,2103.08
berserk,axe,melee,30.45,105.34,606.07,865.41,2997.69,15572.90,162.33,667.81,3034.29
berserk,hammer,melee,40.51,204.42,318.10,1130.56,4905.24,8375.90,88.85,410.67,692.23
soldier,soldier_rifle,projectile,34.09,69.70,244.40,925.78,2526.40,5329.41,73.96,183.82,404.95
soldier,soldier_grenade,projectile,42.55,257.45,891.84,733.35,3603.79,12825.91,45.94,355.44,1045.22
soldier,soldier_bayonet,melee,48.56,47.42,226.21,2009.56,1837.26,11041.01,100.22,85.49,656.49
thief,thief_coin_pouch,projectile,56.31,216.86,286.38,590.98,2553.81,2734.57,154.58,737.91,886.50
thief,thief_shadow_cloak,projectile,82.72,80.10,212.42,2041.31,2065.51,4501.17,389.79,378.58,695.35
thief,thief_smoke_bomb,aoe,53.79,253.97,1223.90,765.12,4009.59,15713.02,113.91,662.59,3870.56
elementalist,elementalist_orb_ring,aoe,39.18,183.69,286.57,579.96,2765.42,4130.12,71.28,398.94,714.44
elementalist,elementalist_prism_focus,beam,56.29,218.21,1090.88,1584.68,5136.44,30613.31,100.99,625.00,4127.28
elementalist,elementalist_meteor_core,projectile,32.20,155.56,746.27,497.83,3057.10,13447.65,100.58,439.03,3193.45
sniper,sniper_deadeye_rifle,projectile,58.38,161.00,422.42,1016.88,2104.60,5019.27,89.80,275.67,707.26
sniper,sniper_spotter_scope,projectile,19.71,89.24,492.18,347.80,1156.79,4331.48,34.85,164.47,695.43
sniper,sniper_shatter_rounds,projectile,55.83,193.79,167.55,735.75,2101.97,2266.57,72.42,228.94,216.97
priest,priest_reliquary,aoe,77.10,301.46,1166.83,976.00,4357.07,20429.84,88.65,520.35,2926.05
priest,priest_censer,aoe,35.06,223.83,1071.82,382.75,2446.21,11580.60,61.65,385.52,1989.26
priest,priest_chime,aoe,33.83,189.92,978.90,571.65,3293.77,18373.63,54.93,324.00,1447.03
biologist,biologist_spore_lens,aoe,78.41,346.94,1074.48,733.91,3689.53,10089.45,310.78,1489.13,3746.75
biologist,biologist_sample_injector,projectile,81.03,120.98,287.73,1031.98,2029.29,5733.93,208.93,418.07,1273.55
biologist,biologist_symbiote_seed,aoe,32.73,147.50,486.88,445.08,2264.40,6634.22,78.25,268.28,746.29
robot,robot_magnetic_anchor,aoe,33.30,165.96,844.61,591.89,2634.20,13955.25,49.37,294.06,1259.71
robot,robot_hydraulic_press,beam,45.28,144.42,593.43,514.20,1964.28,8255.58,86.43,274.78,1225.68
robot,robot_reactor_core,projectile,18.44,89.80,284.53,746.67,2865.47,8605.72,75.23,322.15,857.12
engineer,engineer_sentry_wrench,summon,56.00,83.68,104.17,2422.79,3120.26,3895.90,251.53,437.56,572.54
engineer,engineer_repair_drone,summon,48.14,243.29,391.70,769.63,2972.75,4303.17,82.65,597.97,826.32
engineer,engineer_pressure_mines,aoe,0.00,64.47,499.76,0.00,511.92,17234.68,21.29,214.28,3295.75
dark_mage,dark_book,projectile,97.17,550.94,1390.84,1286.65,6438.55,21077.86,289.10,1886.36,6269.77
dark_mage,cursed_skull,aoe,41.89,187.77,313.39,405.16,1801.65,2687.36,59.84,268.84,448.66
dark_mage,dark_wand,projectile,35.37,141.53,263.32,832.24,4971.50,9839.53,124.42,590.76,1645.06
guitarist,electric_guitar,aura,77.56,82.63,324.14,379.62,1245.03,3631.72,132.02,286.26,729.23
guitarist,bass_guitar,aura,20.38,119.07,630.34,263.31,1608.49,7241.70,34.50,213.82,972.67
guitarist,sound_amp,summon,49.15,252.42,1229.40,249.77,1591.55,7838.00,93.75,501.97,2196.01
assassin,chakrams,beam,50.07,99.98,197.37,1441.79,1378.10,4101.75,144.80,152.49,528.82
assassin,shadow_daggers,melee,68.57,199.13,211.48,824.17,2731.86,2722.23,99.42,297.23,309.92
assassin,venom_wire,beam,53.70,54.15,55.92,970.01,927.10,1215.08,173.56,187.23,219.16
ranger,moon_crossbow,projectile,58.10,304.68,346.69,960.34,4927.88,4621.78,177.45,1012.05,942.85
ranger,storm_longbow,projectile,68.87,62.20,199.02,1355.08,1496.29,6354.51,125.82,125.77,388.52
ranger,hunter_trap,aoe,31.78,59.98,251.97,470.28,2226.61,8560.41,62.40,138.55,469.75
doctor,restore_potion,projectile,65.09,139.19,517.09,827.38,2099.80,8940.28,143.41,426.21,1664.64
doctor,plague_syringe,projectile,44.63,44.71,44.62,825.91,955.29,827.36,107.74,90.83,91.20
doctor,bone_saw,melee,70.85,176.44,845.22,1759.46,3829.08,14238.28,126.54,335.48,1734.03
chemist,blast_powder,projectile,71.05,411.52,696.66,1477.55,9664.80,14986.57,156.83,985.78,1689.23
chemist,acid_flask,projectile,23.27,216.45,651.76,518.56,2502.10,8927.13,64.51,503.57,1711.68
chemist,homunculus_vial,summon,34.88,40.18,130.51,476.35,2378.52,8969.53,52.33,255.40,996.21
knight,long_spear,melee,39.88,39.92,180.75,477.42,1383.23,3665.35,56.87,132.65,407.92
knight,tower_shield,melee,41.21,53.33,249.96,618.85,699.06,3814.68,178.05,258.71,1616.26
knight,holy_flail,melee,31.77,288.76,1497.83,354.72,2677.50,17162.02,41.91,398.54,1903.81
druid,summon_amulet,summon,73.53,99.14,174.93,1668.87,6833.59,10149.72,64.02,186.47,1065.83
druid,briar_staff,projectile,23.04,93.63,387.38,428.13,1811.43,8054.93,44.07,193.20,802.43
druid,raven_totem,summon,54.73,192.36,396.14,334.23,1343.56,2661.16,212.61,813.02,1534.31
