class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,43.17,43.17,275.43,518.57,370.66,2800.66,235.55,321.36,2514.10
berserk,axe,melee,33.15,127.67,633.97,1562.72,4884.83,23591.43,243.82,671.46,3974.90
berserk,hammer,melee,47.85,213.57,342.78,1256.16,6444.37,10755.50,80.64,461.50,785.67
soldier,soldier_rifle,projectile,43.66,101.03,261.90,976.14,2702.67,8389.71,67.57,212.05,607.23
soldier,soldier_grenade,projectile,38.83,253.02,1194.64,1212.89,4746.56,14022.08,96.84,313.49,1119.22
soldier,soldier_bayonet,melee,57.35,65.44,327.42,2744.69,2723.13,12650.40,137.52,103.90,592.90
thief,thief_coin_pouch,projectile,56.29,202.30,255.25,589.73,2520.19,3100.43,172.25,634.26,882.12
thief,thief_shadow_cloak,projectile,82.65,82.12,199.34,2276.07,2015.97,4009.90,370.15,328.70,866.77
thief,thief_smoke_bomb,aoe,59.12,277.98,1131.78,662.49,3574.16,16459.42,105.78,670.33,4062.02
elementalist,elementalist_orb_ring,aoe,45.89,243.56,1245.36,634.86,3782.75,17472.68,79.86,574.29,3416.44
elementalist,elementalist_prism_focus,beam,65.72,224.45,968.25,1852.99,6961.68,38772.29,117.11,736.00,5405.02
elementalist,elementalist_meteor_core,projectile,37.28,180.30,868.19,562.01,3441.65,12318.19,121.10,647.20,3683.87
sniper,sniper_deadeye_rifle,projectile,54.33,159.80,343.26,926.87,2197.46,4614.34,80.55,201.53,555.00
sniper,sniper_spotter_scope,projectile,17.18,77.85,330.58,392.53,2309.98,6433.93,30.53,216.29,609.91
sniper,sniper_shatter_rounds,projectile,55.27,160.18,154.62,552.07,2076.48,2004.31,60.73,212.46,192.64
priest,priest_reliquary,aoe,85.04,369.80,1592.79,754.15,4129.90,23881.19,95.15,621.11,3960.97
priest,priest_censer,aoe,34.99,209.11,1089.37,414.90,2277.13,11325.88,96.97,598.71,3213.57
priest,priest_chime,aoe,33.76,189.83,912.32,524.43,3505.05,16003.35,59.71,322.17,1468.79
biologist,biologist_spore_lens,aoe,80.83,335.33,1073.66,742.74,3515.54,10095.78,311.73,1461.24,3714.30
biologist,biologist_sample_injector,projectile,81.20,122.08,264.82,1029.00,2071.12,5768.18,210.44,430.47,1285.04
biologist,biologist_symbiote_seed,aoe,32.61,146.84,474.02,377.69,1774.85,6210.85,53.44,201.69,609.98
robot,robot_magnetic_anchor,aoe,33.41,167.06,855.12,259.96,1434.57,7706.99,49.37,238.60,1489.53
robot,robot_hydraulic_press,beam,45.46,144.53,552.19,667.11,1755.85,7734.91,86.41,333.63,1037.60
robot,robot_reactor_core,projectile,18.41,90.72,285.65,788.05,3210.22,9095.90,75.06,331.81,1026.57
engineer,engineer_sentry_wrench,summon,54.94,85.76,105.56,2626.43,3262.85,3460.93,260.19,432.28,581.50
engineer,engineer_repair_drone,summon,41.05,250.90,392.13,1013.62,4682.84,8901.93,141.10,616.91,767.39
engineer,engineer_pressure_mines,aoe,0.00,66.99,1020.52,0.00,1497.43,8381.70,20.81,510.01,3408.98
dark_mage,dark_book,projectile,118.22,639.26,1776.60,1592.82,8774.98,25839.15,334.21,2182.74,7817.09
dark_mage,cursed_skull,aoe,41.88,187.02,313.36,405.16,1782.53,2687.23,59.83,268.84,448.41
dark_mage,dark_wand,projectile,43.20,173.23,328.05,993.81,6794.56,11991.90,138.15,728.98,1398.91
guitarist,electric_guitar,aura,67.15,60.88,258.61,342.29,1114.17,3376.79,115.50,239.69,657.72
