class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
berserk,sword,melee,43.17,46.84,267.69,436.09,444.48,3046.46,320.49,397.33,3210.59
berserk,axe,melee,33.14,155.57,771.07,1042.58,3618.79,19166.76,233.80,727.18,4134.95
berserk,hammer,melee,43.21,210.02,345.29,1039.03,4952.82,7759.65,81.83,370.19,835.15
soldier,soldier_rifle,projectile,51.46,99.29,198.75,873.18,2335.42,7550.78,88.10,244.44,514.02
soldier,soldier_grenade,projectile,64.60,224.57,879.05,903.02,4785.74,13101.75,82.71,418.59,1320.61
soldier,soldier_bayonet,melee,37.21,62.48,227.15,2083.96,2306.72,10083.01,143.57,115.15,670.44
thief,thief_coin_pouch,projectile,50.22,216.36,270.72,550.98,2269.28,2992.94,163.38,704.27,772.38
thief,thief_shadow_cloak,projectile,88.68,99.52,223.98,2123.22,2211.52,4619.83,284.26,370.02,675.65
thief,thief_smoke_bomb,aoe,53.76,280.19,1027.89,616.20,3593.48,14428.02,105.63,667.20,3915.24
elementalist,elementalist_orb_ring,aoe,45.49,242.88,1221.96,621.53,3750.61,17207.10,81.00,589.36,3382.04
elementalist,elementalist_prism_focus,beam,65.22,226.11,973.33,1319.35,5169.51,23502.36,138.97,796.26,4819.79
elementalist,elementalist_meteor_core,projectile,37.29,180.52,871.21,552.56,3090.54,12444.15,116.85,643.67,3763.18
sniper,sniper_deadeye_rifle,projectile,57.40,141.24,425.39,888.32,1935.94,4417.05,72.56,229.73,733.43
sniper,sniper_spotter_scope,projectile,17.18,104.41,430.39,227.51,1676.88,5075.07,30.06,144.48,627.96
sniper,sniper_shatter_rounds,projectile,51.55,154.76,149.02,574.64,1841.26,2012.21,64.37,171.08,188.30
priest,priest_reliquary,aoe,85.13,358.30,1552.50,998.70,5274.01,27768.68,101.32,627.64,3969.79
priest,priest_censer,aoe,35.09,237.09,1137.99,404.13,2283.21,11315.75,79.27,457.86,2591.31
priest,priest_chime,aoe,33.90,189.55,910.52,528.30,3729.71,17842.20,59.54,301.19,1564.89
biologist,biologist_spore_lens,aoe,78.43,342.93,1072.18,698.14,3734.08,10085.30,329.03,1442.03,3753.65
biologist,biologist_sample_injector,projectile,81.22,121.70,263.85,1054.32,2029.94,5681.30,213.07,484.96,1499.67
biologist,biologist_symbiote_seed,aoe,32.68,154.11,466.97,391.62,1812.80,6302.11,53.68,203.09,607.97
robot,robot_magnetic_anchor,aoe,33.29,167.08,850.39,399.18,1974.56,10141.37,99.84,337.79,1859.78
robot,robot_hydraulic_press,beam,45.29,159.03,545.87,582.23,2024.10,9685.17,86.56,333.61,1029.05
robot,robot_reactor_core,projectile,18.46,90.38,282.52,838.73,3015.18,8782.60,91.99,287.21,847.49
engineer,engineer_sentry_wrench,summon,56.70,86.64,103.52,2580.23,2939.28,3751.47,256.38,424.07,585.84
engineer,engineer_repair_drone,summon,48.57,257.44,405.94,473.38,2078.78,3881.21,102.15,574.57,769.04
engineer,engineer_pressure_mines,aoe,0.00,74.37,538.28,0.00,601.16,18323.75,19.89,170.18,3602.29
dark_mage,dark_book,projectile,127.87,634.23,1687.15,1530.79,8363.54,24561.01,334.08,2159.08,7538.60
dark_mage,cursed_skull,aoe,41.82,188.34,313.48,404.32,1781.73,2689.14,59.74,269.49,448.12
dark_mage,dark_wand,projectile,43.18,173.34,327.90,1057.37,5545.89,13655.63,148.38,594.24,1359.11
guitarist,electric_guitar,aura,61.05,63.12,274.77,316.35,1126.34,2857.97,114.61,222.34,635.28
guitarist,bass_guitar,aura,18.22,110.40,543.63,259.07,1384.66,6422.51,31.46,170.30,896.30
guitarist,sound_amp,summon,40.62,223.52,1111.39,229.44,1392.93,7577.35,82.45,493.84,2249.01
assassin,chakrams,beam,46.16,100.04,186.75,1551.71,1295.43,4649.64,146.56,148.62,525.14
assassin,shadow_daggers,melee,64.21,192.53,205.71,671.79,2358.58,2022.85,79.01,282.45,280.16
assassin,venom_wire,beam,53.69,54.78,52.10,1127.81,1129.50,1061.01,173.10,194.39,174.82
ranger,moon_crossbow,projectile,57.41,278.96,382.74,937.70,4429.43,4168.20,175.92,939.39,876.79
ranger,storm_longbow,projectile,63.12,63.00,182.25,897.62,936.73,3901.27,108.86,117.09,337.35
ranger,hunter_trap,aoe,28.19,61.39,228.23,439.36,1631.88,5700.13,65.56,126.67,521.81
doctor,restore_potion,projectile,51.32,112.29,388.44,618.04,1725.49,7031.60,114.84,320.90,1379.31
doctor,plague_syringe,projectile,51.03,51.03,44.67,889.45,759.62,889.25,99.18,90.84,99.48
doctor,bone_saw,melee,68.04,176.73,858.54,1123.24,2672.38,11641.43,113.80,311.96,1715.14
chemist,blast_powder,projectile,80.68,793.14,1648.66,1702.58,19554.62,31629.46,178.63,1943.13,4115.13
chemist,acid_flask,projectile,23.53,219.88,675.68,525.37,2558.42,9242.19,63.51,523.23,1739.37
chemist,homunculus_vial,summon,1.36,69.64,129.05,477.21,2313.38,9602.03,2.81,257.59,922.36
knight,long_spear,melee,39.96,39.94,175.41,476.73,1384.82,3656.65,68.33,121.45,415.77
knight,tower_shield,melee,41.56,49.60,247.52,822.23,829.93,4559.09,205.82,318.33,2010.90
knight,holy_flail,melee,31.91,290.00,1471.09,283.00,2055.59,13341.28,41.95,411.89,1971.25
druid,summon_amulet,summon,89.67,100.37,120.06,975.04,5739.51,18728.77,90.90,115.70,451.47
druid,briar_staff,projectile,23.04,90.42,388.39,446.20,1691.29,8108.52,57.21,238.24,990.89
druid,raven_totem,summon,27.26,86.39,157.53,190.27,635.07,1131.18,113.81,348.74,657.57
